,dteday,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,StandardizedTemp,StandardizedHumidity,StandardizedWindspeed,LogCasual,TempCategory,season_orig,Season_1,Season_2,Season_3,Season_4,fakeNaNvals,WindspeedImputed,HolidayUsage,InteractionTerm,WindSpeedCategory,WeekdayEncoded
0,2011-01-01,0,1,0,6,0,2,0.35516959600347203,0.37351737876240565,0.8058330000000001,0.160446,331,654,985,-0.8260965071000836,1.2493159273367267,-0.38762628396979176,5.802118375377063,31-40,1,1,0,0,0,1,0.160446,0,0.2862073810562659,Medium,1465.2571428571428
1,2011-01-02,0,1,0,0,0,2,0.3792320499775339,0.36054066910781774,0.696087,0.248539,131,670,801,-0.7206013149939529,0.47878515977554714,0.7490888183309049,4.875197323201151,31-40,1,1,0,0,0,1,0.248539,0,0.26397849997271167,High,1338.2952380952381
2,2011-01-03,0,1,0,1,1,1,0.17099980237661436,0.14483010827663623,0.437273,0.248309,120,1229,1349,-1.633538166199165,-1.3383576069364869,0.7461209948542477,4.787491742782046,11-20,1,1,0,0,0,1,0.248309,0,0.07477359658462929,High,674.1333333333333
3,2011-01-04,0,1,0,2,1,1,0.17553043686730302,0.1746492376740948,0.590435,0.160296,108,1454,1562,-1.613674848996644,-0.2630014807796769,-0.3895618210197857,4.68213122712422,11-20,1,1,0,0,0,1,0.160296,0,0.10363931349174607,Medium,556.1826923076923
4,2011-01-05,0,1,0,3,1,1,0.20912018218234535,0.19715830273143595,0.43695700000000004,0.18689999999999998,82,1518,1600,-1.4664098759965427,-1.3405762547464235,-0.046274969832884164,4.406719247264253,21-30,1,1,0,0,0,1,0.18689999999999998,0,0.09137652744585109,Medium,551.1442307692307
5,2011-01-06,0,1,0,4,1,1,0.1809482583099637,0.20232877201420163,0.518261,0.0895652,88,1518,1606,-1.5899219053232219,-0.7697378321543107,-1.302242380857799,4.477336814478207,11-20,1,1,0,0,0,1,0.0895652,0,0.0937784252999801,Low,590.9615384615385
6,2011-01-07,0,1,0,5,1,2,0.17119667813281045,0.17033985695428772,0.498696,0.168726,148,1362,1510,-1.6326750187519705,-0.9071044283613201,-0.2807846388101338,4.997212273764115,11-20,1,1,0,0,0,1,0.168726,0,0.08537509859812004,Medium,752.2884615384615
7,2011-01-08,0,1,0,6,0,2,0.1319187187226103,0.10919075526917946,0.535833,0.266804,68,891,959,-1.8048783974257545,-0.6463641634321244,0.9847727131184839,4.219507705176107,11-20,1,1,0,0,0,1,0.266804,0,0.07068640280929245,High,1465.2571428571428
8,2011-01-09,0,1,0,0,0,1,0.098690327643624,0.04870584689635326,0.4341670000000001,0.36195,54,768,822,-1.9505591124531572,-1.3601649490177015,2.212496767509889,3.9889840465642745,0-10,1,1,0,0,0,1,0.36195,0,0.042848083482049305,High,1338.2952380952381
9,2011-01-10,0,1,0,1,1,1,0.11426594126672852,0.09427134580791632,0.482917,0.223267,41,1280,1321,-1.8822721308713322,-1.0178893770733264,0.422989536147948,3.713572066704308,11-20,1,1,0,0,0,1,0.223267,0,0.055180965558704734,High,674.1333333333333
10,2011-01-11,0,1,0,2,1,2,0.13701630554917993,0.14753282375092278,0.686364,0.12213200000000002,43,1220,1263,-1.7825294340936548,0.41051961339574866,-0.8820140608595433,3.7612001156935624,11-20,1,1,0,0,0,1,0.12213200000000002,0,0.09404305954195732,Low,556.1826923076923
11,2011-01-12,0,1,0,3,1,1,0.1415469400398686,0.10685295232614675,0.599545,0.304627,25,1137,1162,-1.7626661168911337,-0.19903983030966158,1.472824832064589,3.2188758248682006,11-20,1,1,0,0,0,1,0.304627,0,0.08486376016620302,High,551.1442307692307
